qid227,qid228,qid230,qid231_text,qid232,qid234,qid297,qid297_7_text,qid299_text,qid250_1,qid250_2,qid250_3,qid250_4,qid250_5,qid250_6,qid250_7,qid250_8,qid300_1,qid300_4,qid300_5,qid300_6,qid300_7,qid300_8,qid300_9,qid300_10,qid300_10_text,qid251_1,qid251_2,qid251_3,qid251_4,qid251_5,qid251_6,qid251_7,qid251_8,qid251_9,qid251_9_text,qid235_13,qid235_1,qid235_2,qid235_3,qid235_4,qid235_8,qid235_9,qid235_10,qid235_11,qid235_11_text,qid236_text,qid237_1_1,qid237_1_2,qid237_1_3,qid237_2_1,qid237_2_2,qid237_2_3,qid237_3_1,qid237_3_2,qid237_3_3,qid237_4_1,qid237_4_2,qid237_4_3,qid237_5_1,qid237_5_2,qid237_5_3,qid237_6_1,qid237_6_2,qid237_6_3,qid237_7_1,qid237_7_2,qid237_7_3,qid237_8_1,qid237_8_2,qid237_8_3,qid237_9_1,qid237_9_2,qid237_9_3,qid237_10_1,qid237_10_2,qid237_10_3,qid237_11_1,qid237_11_2,qid237_11_3,qid237_12_1,qid237_12_2,qid237_12_3,qid237_13_1,qid237_13_2,qid237_13_3,qid238_1,qid238_7,qid238_8,qid238_9,qid238_10,qid238_2,qid238_13,qid238_13_text,qid240_1,qid240_2,qid240_3,qid240_4,qid240_5,qid240_7,qid240_8,qid240_9,qid240_10,qid240_26,qid240_11,qid240_12,qid240_28,qid240_13,qid240_14,qid240_15,qid240_16,qid240_17,qid240_20,qid240_21,qid240_22,qid240_23,qid240_24,qid240_25,qid240_29,qid240_18,qid240_18_text,qid241_text,qid243_text,qid244_text,qid245_text,qid247_text,qid248_text,qid249_1,qid249_2,qid249_3,qid252_1,qid252_2,qid252_3,qid252_4,qid252_5,qid252_6,qid252_7,qid252_8,qid252_9,qid252_10,qid252_11,qid252_12,qid305,qid273_1,qid273_2,qid273_3,qid273_4,qid273_5,qid273_6,qid274,qid306,qid302_1,qid302_2,qid302_3,qid302_4,qid275,qid276_text,qid307_text,qid278,qid279_text,qid280_text,qid281_text,qid282_text,qid267_text,qid268_text,qid270_text,qid309_text,qid283_text,qid284_text,qid245_text_32e7cc92_ay4puphdn8fxpartopics,qid245_text_32e7cc92_ay4puphdn8fxtopics,qid245_text_32e7cc92_ay4puphdn8fxtopichierarchy1,qid227_label,qid228_label,qid230_label,qid232_label,qid234_label,qid274_label,qid275_label,qid278_label,qid297_label,qid305_label,qid306_label
1.0,10.0,9.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99,-99,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,-99,,,-99,-99,-99,-99,,,,,-99,-99,,,,"Yes, I consent",Prefer not to say,,,Yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99,-99,-99,-99,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99,,,-99,-99,-99,-99,,,,,-99,-99,,,,,,,,,,,,,,
1.0,5.0,1.0,2211.0,4.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,-99,Community,1.0,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,Better system to allow volunteers to collaborate earlier in the piece and more community engagement ,yes but running theme camps for 5 years straight with little support from the ORGS or DPI Teams.,,,Funding and logistics,500 to 2000,2.0,2.0,3.0,5.0,2.0,1.0,3.0,,,,,,,,,,,1.0,,1.0,,,2.0,,,,,,2.0,small burn events,,2.0,none,yes please ask,no,-99,300.0,350.0,300.0,,To rebuild the community strength within NSW and engage the Vic Community,For Burning Seed to change names and site locations. Fresh Start for the community,,,,"Yes, I consent",45 - 54,Australian Capital Territory,Attended 5+ events,No,It is a very important part of the experience.,Somewhat Connected,Very Important,,,
1.0,4.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,-99,-99,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99,,,-99,-99,-99,-99,,,,,-99,-99,,,,"Yes, I consent",35 - 44,Australian Capital Territory,I have not attended a multi-day Burner event,,,,,,,
1.0,4.0,1.0,2204.0,4.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,1.0,1.0,,,-99,"Community, self-expression, personal growth",1.0,,,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,Workload balance,Yes. Poor personal boundaries and stresful default world job often lead me to overcommit.,,,Time and planning.,One epic burn of 2500 people or more every two years.,2.0,3.0,6.0,4.0,2.0,5.0,5.0,,,,,,,,,,,,,,1.0,,2.0,,,,,,1.0,False starts,,2.0,-99,-99,-99,-99,,,,,"I would love to see a regional NSW event (preferably in Matong) grown back to 5,000 or 10,000 participants so that I'll never have to go back to Burning Man for the spectacle.",Good work IBAG!,,,,"Yes, I consent",35 - 44,Australian Capital Territory,Attended 5+ events,No,It is a very important part of the experience.,Very Connected,Very Important,,,
1.0,3.0,10.0,2300.0,3.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,-99,1.0,1.0,1.0,1.0,1.0,1.0,,,,-99,Socially acceptable arson + psychedelics,,1.0,,,1.0,,,,1.0,,,1.0,,1.0,,,,1.0,,1.0,,1.0,,,1.0,,,,1.0,,1.0,,,1.0,,,,1.0,,,1.0,1.0,,,,,-99,,,,,,1.0,1.0,,1.0,,,,,,1.0,,,1.0,,,1.0,,,,,,-99,Nah Im pretty happy tbh. If we can ensure radio's are reasonable small and easy to use that's about all I want,An easy way for volunteers to sign up for shifts without me having to contact them all and assess their availability,Finding other burners keen on joining,One time my camp traded a bunch of nitrous tanks with another camp in return for ket. Seemed to go well,No issues,One annual large 5-7 day interstate one with several thousand people. A smaller 3-4 day camping regional burn on an annual basis as well (<500 people or so). Maybe a few day events here and there,3.0,4.0,5.0,1.0,2.0,2.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,6.0,2.0,7.0,,,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,Well we seem to have enough people and a couple of sound camps,Need a larger regional burn than 3rd degree --> site bit shit and small. Need a regular annual multi-day camping Burn like Burning Seed to happen. Could do with some more cool art. ,5.0,-99,-99,Sparkhaus Studio,-99,600.0,500.0,300.0,<100,Return of a large interstate burn. Ideally with a dedicated site we can call home --possibility of storing theme camp stuff there +/- events throughout the year,-99,,Unknown,,"Yes, I consent",25 - 34,New South Wales,Attended 2-4 events,No,"It is an essential, non-negotiable part of the event for me.",Somewhat Connected,Not at all Important,,Not Important,To attend a Burn during colder months to ensure effigy/temple burns occur
1.0,4.0,10.0,2299.0,4.0,2.0,1.0,-99,designated family camping area,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,-99,,,1.0,,1.0,1.0,,,,-99,-99,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,1.0,,,1.0,,,1.0,,,,,,,-99,-99,-99,,,,-99,1.0,1.0,2.0,8.0,8.0,8.0,7.0,6.0,2.0,2.0,2.0,7.0,8.0,8.0,2.0,4.0,,,,,1.0,,2.0,1.0,2.0,2.0,2.0,2.0,2.0,small burns ,-99,4.0,-99,-99,-99,-99,400.0,300.0,250.0,200,-99,-99,,,,"Yes, I consent",35 - 44,New South Wales,Attended 5+ events,Yes,It is a very important part of the experience.,Somewhat Connected,Not Very Important,"Yes, I have before and/or would again.",Somewhat Important,To attend a Burn during colder months to ensure effigy/temple burns occur
1.0,4.0,10.0,2850.0,2.0,1.0,,,,1.0,1.0,,,,,,,1.0,,,,1.0,,,,-99,,,,,,,1.0,,,-99,,,,,1.0,,,,,-99,"A place to learn and express myself, with a bunch of other like minded weirdos",,1.0,,,1.0,,1.0,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,,,-99,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,-99,"More clarity on other people’s roles, clarity some what on my own role (sometimes it can feel expected to help out in a position I’m not across the demands of, which makes me anxious ",,,,,-99,2.0,3.0,4.0,1.0,2.0,7.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,7.0,2.0,5.0,,,1.0,1.0,,,2.0,2.0,2.0,1.0,2.0,1.0,2.0,That any events exist at all (with burning seed canned) ,"I feel a bit disconnected living in the country, I’m on the Facebook pages but it’s hard to know when other events are on/ connecting with people outside events ",2.0,-99,-99,-99,-99,600.0,500.0,350.0,150,"An inclusive community event with space for everyone, that is priced reasonably so low income people can come ",More burns pls ,,,,"Yes, I consent",35 - 44,New South Wales,Attended 1 event,No,It is a very important part of the experience.,Somewhat Connected,Very Important,,Neutral,To attend a Burn during warmer months without effigy/temple burns
1.0,5.0,10.0,2216.0,4.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,-99,,,1.0,1.0,1.0,1.0,1.0,,,-99,Community. Self expression.  Joy and creativity ,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,1.0,,,1.0,,,1.0,,,,1.0,1.0,,,,-99,,1.0,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,-99,I've had great experience. Maybe leadership mentorship policy,-99,,,Camping near the art installation is advisable. ,I like the smaller events 300 or less. ,2.0,3.0,3.0,6.0,6.0,7.0,7.0,8.0,2.0,2.0,2.0,2.0,7.0,8.0,6.0,5.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,3.0,1.0,2.0,2.0,2.0,Mini burns and parties burning pub,Newsletter ,3.0,-99,-99,-99,-99,500.0,380.0,250.0,150,More art. And showcase the art to the broader community ,-99,,,,"Yes, I consent",45 - 54,New South Wales,Attended 5+ events,No,It is a very important part of the experience.,Somewhat Connected,Somewhat Important,,Neutral,To attend a Burn during colder months to ensure effigy/temple burns occur
1.0,4.0,10.0,2217.0,3.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,-99,,,,,1.0,,,,,-99,"Community, stepping out of the matrix, the ethos",,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,-99,Online training and clear comms about responsibilities prior,,,,,Every quarter with about 500-1000 people,3.0,3.0,3.0,8.0,8.0,8.0,8.0,7.0,2.0,2.0,2.0,2.0,7.0,8.0,7.0,4.0,1.0,1.0,,1.0,,,3.0,2.0,3.0,1.0,1.0,3.0,4.0,Follow up event for embers was nice,More frequent social events,4.0,"Castle Mountain, Glen worth Valley (but be careful of flies in summer. They're awful), castle drumming (when they get their permit)",-99,-99,-99,380.0,320.0,250.0,150,-99,-99,,,,"Yes, I consent",35 - 44,New South Wales,Attended 2-4 events,No,"It's a nice feature, but not essential.",Somewhat Disconnected,Not Very Important,,Somewhat Important,To attend a Burn during warmer months without effigy/temple burns
1.0,5.0,10.0,2026.0,4.0,2.0,5.0,-99,"My kids are 18 and 15, a sensitive age, I would have considered bringing kids under 12 but I personally prefer my teens not seeing all that goes on at a burn ",,1.0,,,,,,,,,,,,,1.0,,-99,,,,,,,1.0,,,-99,,,1.0,1.0,1.0,,1.0,,,-99,"Community, play, connections, dancing, fun, getting out of the ordinary, meeting old and new friends, personal growth ",,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,-99,"Not having too long shifts during the event, max 4 hours at a time ",,,,,Yearly and as big as possible ,3.0,3.0,3.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,7.0,8.0,8.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,,3.0,2.0,4.0,2.0,1.0,4.0,2.0,-99,A big burn ,4.0,River wood downs? ,-99,-99,-99,500.0,450.0,300.0,$250 ,"I’d love for it to get back to what Seed was, around 5,000 people coming together yearly to celebrate, grow, learn, dance and play ",I’d love to see a site change. I found Matong too far away (the need to take 2 extra days holidays just to drive as well as the petrol cost) and too cold even in Oct. ,,,,"Yes, I consent",45 - 54,New South Wales,Attended 5+ events,Yes,"It's a nice feature, but not essential.",Somewhat Connected,Not Very Important,"No, I prefer to attend without them.",Somewhat Important,To attend a Burn during warmer months without effigy/temple burns
1.0,5.0,10.0,2429.0,4.0,1.0,,,,,,,,1.0,1.0,,,,,1.0,,1.0,,,,-99,,,,,,,1.0,,,-99,,,1.0,1.0,1.0,,1.0,,,-99,The most beautifully creative weirdos I can find attend burns,1.0,1.0,1.0,,1.0,,,,,,1.0,1.0,,,,,1.0,,,1.0,,1.0,1.0,1.0,,1.0,,,1.0,,,1.0,,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,,-99,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,-99,-99,,,,,-99,3.0,3.0,3.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,6.0,6.0,6.0,,,,,1.0,,2.0,1.0,3.0,1.0,3.0,2.0,1.0,-99,-99,4.0,Have relocated to the bush near Wingham/Taree and there are multiple available paddocks and forest areas screaming to be used. We already are just on a smaller scale.,-99,-99,-99,300.0,250.0,200.0,100,"More visual art, less sound camps. Stop splitting the party (and yeah I  play tunes)","Love all your work, thanks to all involved!!",,,,"Yes, I consent",45 - 54,New South Wales,Attended 5+ events,No,It is a very important part of the experience.,Very Connected,Not Very Important,,Somewhat Unimportant,To attend a Burn during colder months to ensure effigy/temple burns occur
1.0,3.0,10.0,2040.0,4.0,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,1.0,,1.0,More of Rosey,,,,,,,,,,-99,,1.0,1.0,1.0,1.0,,1.0,,,-99,Drugs music friends and Rosey.,,1.0,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,1.0,,,,,,,-99,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,-99,"Lower price ticket/free tickets, I take a week or two off just to voulnteer, kinda BS that I dont get a free ticket. ","Group resources, how about if we have a technologist, artist and or engineering genius at hand to ask questions, wholesale buy stuff for camps like alcohol, lights, foods etc. and give advice to artist on how to bring better bigger things. I would love to have a chat with an engineering on how to safely bring my art ideas into reality. Maybe group meetings or something like that.","We need new members to join our events for them to grow, how about resources that are share more publicly like videos, blogs etc. Some people say that's not the burner way, and they can get ducked. Lets make it welcoming and eassier for new people to join us. Idea: Videos, art, fudning for art that is focused on brining burgins. ",Shared resources. ,,"every 3 to 4 months, size 300 minimum to 70 thousand max.",1.0,3.0,3.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,,,,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,"burning pub, great people. ",Better organisation.,3.0,-99,-99,-99,-99,450.0,390.0,290.0,230,Hippies runing naked under the moon light. Lets not let the flame die. ,-99,,Unknown,,"Yes, I consent",25 - 34,New South Wales,Attended 5+ events,No,"It is an essential, non-negotiable part of the event for me.",Very Connected,Somewhat Important,,Not Important,No preference / I'd attend either way
1.0,4.0,10.0,2088.0,4.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,-99,1.0,1.0,1.0,,1.0,1.0,1.0,,,-99,Frameworks that encourage user participation and creation,1.0,,,1.0,,,1.0,,,1.0,,,,,,,1.0,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,Bit too burnt out and jaded waiting to see what the scene is like after a long break before willing to commit,1.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,,1.0,,1.0,1.0,,,,,,-99,"Less drama, less ego, less micromanagement of events. less obsessive planning due to people building identifies around their volunteer roles",Less the loudest voices in the room getting the attention,I don't consider it a very difficult task,-99,-99,I have always believed 250 to be the best size for burns,2.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,,,,,1.0,,1.0,1.0,3.0,1.0,3.0,2.0,3.0,Unsure,More social capital given to the creatives rather than yhe organizer types. Outreach to find new people and crew,5.0,-99,-99,-99,-99,250.0,,,-99,"Burn it down, get the insurance money, start again. Less micromanaging less spreadsheets less meetings less everything the whole point of a burn to me is to do the bare minimum safely and legally that creates a blank canvas for people to fill",There has become an over emphasis and power attention tickets etc given to old theme camps not doing anything new now for years,,,,"Yes, I consent",35 - 44,New South Wales,Attended 5+ events,No,"It is an essential, non-negotiable part of the event for me.",Neutral,Not at all Important,,Very Important,To attend a Burn during colder months to ensure effigy/temple burns occur
